,original,normalized
200,ấn độ chưa bao h lm t thất vọng,ấn độ chưa bao giờ làm tôi thất vọng
201,"mình mới 22 tuổi này, đang nghiêm túc học hành để có việc làm ổn định trong năm nay, đặt mục tiêu rõ ràng cho gđ thấy, vậy mà họ hàng có người muốn giới thiệu là sẽ liên tục ép mình dành thời gian tìm hiểu các kiểu","mình mới 22 tuổi này, đang nghiêm túc học hành để có việc làm ổn định trong năm nay, đặt mục tiêu rõ ràng cho gia đình thấy, vậy mà họ hàng có người muốn giới thiệu là sẽ liên tục ép mình dành thời gian tìm hiểu các kiểu"
202,nhớ năm lớp 2 t ko tả m t tả Đức Huy m giận ko:))))),nhớ năm lớp 2 tao không tả mày tao tả Đức Huy mày giận không:)))))
203,"Gd 2 bên nội ngoại có kinh tế để 2 vck sống ăn bám còn nhọc, huống chi gd 2 bên ko có kte","Gia đình 2 bên nội ngoại có kinh tế để 2 vợ chồng sống ăn bám còn nhọc, huống chi gia đình 2 bên không có kinh tế"
204,Đ lo ôm con đi viện,Đéo lo ôm con đi viện
205,10 kai áo thì 8 kai màu đen,10 cái áo thì 8 cái màu đen
206,rank đồng thật nma đừng đùa,rank đồng thật nhưng mà đừng đùa
207,khoan từ từ vụ này à vụ gì vậy mn ơi?,khoan từ từ vụ này là vụ gì vậy mọi người ơi?
208,Lực lượng CA cần nhiều hơn những người như anh,Lực lượng công an cần nhiều hơn những người như anh
209,Rất xin lũi nhưng “đòi cưng vô lây” có nghĩa là gì vậy anh em?,Rất xin lỗi nhưng “đòi cưng vô lây” có nghĩa là gì vậy anh em?
210,Kể cả có là 1/4 thì tôi cũng ko dám tỏ tình,Kể cả có là 1/4 thì tôi cũng không dám tỏ tình
211,đọc đi rồi kể vk nghe,đọc đi rồi kể vợ nghe
212,bài nài nâu dồi nhưng buần cười lắm =))))))))))),bài này lâu rồi nhưng buồn cười lắm =)))))))))))
213,mốt nhà chị cry có đủ các yếu tố xã hội để đảm bảo sự riêng tư cho gđ c,mốt nhà chị cry có đủ các yếu tố xã hội để đảm bảo sự riêng tư cho gia đình chị
214,"Thể loại này bên Hàn đc ưa chuộng lắm ,bên Trung có vẻ k thích tình yêu lớn tuổi nhỉ","Thể loại này bên Hàn được ưa chuộng lắm ,bên Trung có vẻ không thích tình yêu lớn tuổi nhỉ"
215,"Hic, hôm bữa mặc chiếc áo màu xanh, thèng em út nói nhìn mẹ như nước bồn cầu","Hic, hôm bữa mặc chiếc áo màu xanh, thằng em út nói nhìn mẹ như nước bồn cầu"
216,tối nào cg v mới có một giấc ngủ ngon,tối nào cũng vậy mới có một giấc ngủ ngon
217,Muốn nuôi toà chia mỗi ng nuôi 1 được mà,Muốn nuôi toà chia mỗi người nuôi 1 được mà
218,"thôi em dzai ơi em có tất cả mọi thứ trên đời, khiếm khuyết của em chỉ là k có chị thôi haizzzz","thôi em trai ơi em có tất cả mọi thứ trên đời, khiếm khuyết của em chỉ là không có chị thôi haizzzz"
219,"điều tra rồi ko có thì thả người ta thôi , sao lại có 1 số đứa dù không thù không oán lại muốn người ta chết mới chiệu ác vl nhỡ","điều tra rồi không có thì thả người ta thôi , sao lại có 1 số đứa dù không thù không oán lại muốn người ta chết mới chịu ác vl nhỉ"
220,Alex Mahone ko truy tìm Michael Scotfield nữa mà sang dũ trụ khác r,Alex Mahone không truy tìm Michael Scotfield nữa mà sang vũ trụ khác rồi
221,"duma đọc mà cay, gia đình thương yêu kiểu chim lồng cá chậu, cả cuộc đời hóa ra cuối cùng ko khác gì con rối cho người ta nắm người ta múa","duma đọc mà cay, gia đình thương yêu kiểu chim lồng cá chậu, cả cuộc đời hóa ra cuối cùng không khác gì con rối cho người ta nắm người ta múa"
222,thíc k mai c dắt e đi,thích không mai chị dắt em đi
223,yên tâm t cap hết r m chối đằng trời,yên tâm tao cap hết rồi mày chối đằng trời
224,chúng nó bảo em là ctrai,chúng nó bảo em là con trai
225,Thay mặt ông 6 xin lỗi pé,Thay mặt ông 6 xin lỗi bé
226,mở con mắt ga mà dòm,mở con mắt ra mà dòm
227,"Cháu phải ngồi lại nói chuyện nghiêm túc với Ck , và có quy định về kinh tế rõ ràng","Cháu phải ngồi lại nói chuyện nghiêm túc với chồng , và có quy định về kinh tế rõ ràng"
228,"sao mọi người đi hiến máu chỗ nào có cá heo này zạ, cho mình xin ké zúii","sao mọi người đi hiến máu chỗ nào có cá heo này dạ, cho mình xin ké với"
229,2 c cận ko nhìn thấy biển báo,2 cậu cận không nhìn thấy biển báo
230,Vn mình ai cũng mua được trăm tỏi chứng khoán mà nguồn gốc số tiền ở đâu thì ko rõ,Vn mình ai cũng mua được trăm tỉ chứng khoán mà nguồn gốc số tiền ở đâu thì không rõ
231,Phản động thì chôn thôi chứ nói j nx,Phản động thì chôn thôi chứ nói gì nữa
232,Lúc trc tui dùng xong nhìn màu nước lúc nào cũng xanh tui cảm thấy rất gớm nên bỏ dùng.,Lúc trước tui dùng xong nhìn màu nước lúc nào cũng xanh tui cảm thấy rất gớm nên bỏ dùng.
233,Xin vía yêu đc 1 ng chở che cho mình ngay cả trong giấc ngủ nv ạ huhu,Xin vía yêu được 1 người chở che cho mình ngay cả trong giấc ngủ như vầy ạ huhu
234,Sống hèngg cho đời thêm dui,Sống hèn cho đời thêm vui
235,"Ăn miếng nào gắp miếng nấy, đừng có bới lên bới xuống…ảnh hưởng tới khẩu vị vị giác ng ta","Ăn miếng nào gắp miếng nấy, đừng có bới lên bới xuống…ảnh hưởng tới khẩu vị vị giác người ta"
236,Nhận kèo với đội bạn ko,Nhận kèo với đội bạn không
237,V từ nay ĐBP kh còn kẹt xe nữa :))))),Vậy từ nay ĐBP không còn kẹt xe nữa :)))))
238,rùi đó t biết con chuột 1m ai đó kể r đó :))),rồi đó tôi biết con chuột 1m ai đó kể rồi đó :)))
239,phải bạn học k kìa,phải bạn học không kìa
240,"thích thật thì ăn nói vụng về, sẽ lúng túng kbiet nói gì là phải, sợ nói sai ngta nghĩ mình ko tốt, ngta sẽ bớt thích mình,…","thích thật thì ăn nói vụng về, sẽ lúng túng kbiet nói gì là phải, sợ nói sai người ta nghĩ mình không tốt, người ta sẽ bớt thích mình,…"
241,Chơi với bạn chỉ cần chất lượng chứ k cần số lượng,Chơi với bạn chỉ cần chất lượng chứ không cần số lượng
242,Nên làm ơn khen ng mình thích nhưng bớt đi lấy người người khác thích để làm bàn đạp nâng idol mình lên nha,Nên làm ơn khen người mình thích nhưng bớt đi lấy người người khác thích để làm bàn đạp nâng idol mình lên nha
243,K ăn được thịt mỡ thì k ăn thịt ăn món khác đi,Không ăn được thịt mỡ thì không ăn thịt ăn món khác đi
244,"năm đó bọn miềng lạc nhau chỗ ni nì, a chạy phía dưới, mấy chú chạy trên đèo tới lúc gặp nhau chụp được bức này","năm đó bọn mình lạc nhau chỗ này này, anh chạy phía dưới, mấy chú chạy trên đèo tới lúc gặp nhau chụp được bức này"
245,kêu ik hc 1 tuần mà thầy cô k lên dạy,kêu đi học 1 tuần mà thầy cô không lên dạy
246,zk nuôi khéo quá đúng hk,vợ nuôi khéo quá đúng không
247,Hết kẹt xe ĐBP r dui ghê :)),Hết kẹt xe ĐBP rồi vui ghê :))
248,bớt làm lại nhen boà,bớt làm lại nhe bà
249,thế 4 tháng biết làm j rồi?,thế 4 tháng biết làm gì rồi?
250,"5,25 là qua môn gòi","5,25 là qua môn rồi"
251,Ê vậy mà t cũng tính zoom ra đọc..,Ê vậy mà tôi cũng tính zoom ra đọc.
252,"Đi hk gì mà đc trợ cấp 5tr vậy, tui đi có 2tr vẫn đủ sống, tốt nghiệp bằng giỏi","Đi học gì mà được trợ cấp 5tr vậy, tui đi có 2tr vẫn đủ sống, tốt nghiệp bằng giỏi"
253,10 năm trc tôi vẫn còn học và chơi,10 năm trước tôi vẫn còn học và chơi
254,chỉ công thức video cuối đuy anh,chỉ công thức video cuối đi anh
255,đi mát xa mát gần k,đi mát xa mát gần không
256,kìa sau vào đi nhà nc bao ăn bao ở,kìa sau vào đi nhà nước bao ăn bao ở
257,""" Ủa sao nằm trong đây z con trời đất cơi nay được học sinh j z con "" :)))))))",""" Ủa sao nằm trong đây vậy con trời đất ơi nay được học sinh gì vậy con "" :)))))))"
258,Kể cả là đi ăn vs bạn bè bới thức ăn lên cũng là vô duyên rồi chứ nói gì ra mắt gđ nhà ny,Kể cả là đi ăn với bạn bè bới thức ăn lên cũng là vô duyên rồi chứ nói gì ra mắt gia đình nhà người yêu
259,hong biếc nói con mẹ gì hết lun á,không biết nói con mẹ gì hết luôn á
260,cgi vui vẻ thì mình ưu tiên :)),cái gì vui vẻ thì mình ưu tiên :))
261,số đào hoa ghê pa,số đào hoa ghê ba
262,chỉ coá thể là nhân văn,chỉ có thể là nhân văn
263,Ai chê ngấy z là chưa xem tình cảm của Út Phượng với anh Tèo rồi,Ai chê ngấy vậy là chưa xem tình cảm của Út Phượng với anh Tèo rồi
264,Anh ơi em cũng làm mà em báo chồng em với mẹ em quá chời r,Anh ơi em cũng làm mà em báo chồng em với mẹ em quá trời rồi
265,bà thứ 2 nói đúng gke :)),bà thứ 2 nói đúng ghê :))
266,"ăn hong iem, thi xong gòi c bao nè =)))","ăn không em, thi xong rồi thì chị bao nè =)))"
267,cta ko nói xấu cta chỉ nói sự thiệc về họ thâu,chúng ta không nói xấu chúng ta chỉ nói sự thiệt về họ thôi
268,tui có chục cái quần loe kiểu này nhma k có người như trên hình,tui có chục cái quần loe kiểu này nhưng mà không có người như trên hình
269,vậy cô ấy k thả thính mình nghĩa là cũng thích mình rồi,vậy cô ấy không thả thính mình nghĩa là cũng thích mình rồi
270,2 miếng dưa trong tủ lạnh á ăn ik,2 miếng dưa trong tủ lạnh á ăn đi
271,là ca sĩ dzữ gòi đó,là ca sĩ dữ rồi đó
272,Sao ko ai shout out tôi vậy,Sao không ai shout out tôi vậy
273,"Thề đúng gout tui, thích kiểu đẹp sắc sảo tri thức  lắm luôn, nhan sắc có thể phai nhạt theo thời gian nhưng khí chất k bao giờ biến mất","Thề đúng gout tui, thích kiểu đẹp sắc sảo tri thức  lắm luôn, nhan sắc có thể phai nhạt theo thời gian nhưng khí chất không bao giờ biến mất"
274,mới iu ga dẻ lắm,mới yêu ra vẻ lắm
275,Cảm dác mạnh đồ ó,Cảm giác mạnh đồ á
276,lâu lâu em khùng z,lâu lâu em khùng vậy
277,với bỏ đồ ăn vào tủ bọc lại chứ k nó nhiễm khuẩn nữa,với bỏ đồ ăn vào tủ bọc lại chứ không nó nhiễm khuẩn nữa
278,Có hình a RUỘT KO,Có hình anh RUỘT Không
279,mình đẹp nhưng ko giàu,mình đẹp nhưng không giàu
280,Makeup lên xí đc rồi,Makeup lên xíu được rồi
281,pass quần cho bạn m i,pass quần cho bạn m đi
282,"mình trước khi 20t chưa có ny thì cứ gặng hỏi có ny chưa, rồi suốt ngày nói mấy câu nghi ngờ mình k phải straight nhưng đến lúc có ny rồi thì khó chịu, tỏ vẻ k thích mình có ny","mình trước khi 20t chưa có người yêu thì cứ gặng hỏi có người yêu chưa, rồi suốt ngày nói mấy câu nghi ngờ mình không phải straight nhưng đến lúc có người yêu rồi thì khó chịu, tỏ vẻ không thích mình có người yêu"
283,nếu thu nhập bạn nữ cao hơn con số đó thì tìm kiếm ng phù hợp vs m hơn thôi,nếu thu nhập bạn nữ cao hơn con số đó thì tìm kiếm người phù hợp với mình hơn thôi
284,"ko sao, hốt lại ăn vẫn dc","không sao, hốt lại ăn vẫn được"
285,30t mà trung niên gì chời?,30t mà trung niên gì trời?
286,Đó hông phải là cá.,Đó không phải là cá.
287,"Tao cũng từng có bạn thân, cũng từng vào sinh ra tử cùng cho đến 1 ngày khi t cần thì họ lại bảo vì tình nghĩa t mới giúp m thôi","Tao cũng từng có bạn thân, cũng từng vào sinh ra tử cùng cho đến 1 ngày khi tao cần thì họ lại bảo vì tình nghĩa tao mới giúp mày thôi"
288,Cha mẹ thế này thì bảo sao con n ko có phúc,Cha mẹ thế này thì bảo sao con nó không có phúc
289,4 bạn thăn cụa t tụi m biếc hơm =)),4 bạn thân của tao tụi mày biết không =))
290,"nên với tinh thần “work smart not hard” và “think out side the box” thì tôi chia cuốn sách thành hẳn 3 phần, hôm nào lười thì tôi đ thèm mang sách luôn","nên với tinh thần “work smart not hard” và “think out side the box” thì tôi chia cuốn sách thành hẳn 3 phần, hôm nào lười thì tôi đéo thèm mang sách luôn"
291,ừ thì cũng phiền lắm nma th vẫn nghe,ừ thì cũng phiền lắm nhưng mà thôi vẫn nghe
292,"Toi khong dùng tiktok, hesavedfunvideos rồi mở cho tôi xem","Tôi không dùng tiktok, hesavedfunvideos rồi mở cho tôi xem"
293,"k đùa đâu có con nhỏ tốn đủ thứ đấy, t cày sml luôn đấy","không đùa đâu có con nhỏ tốn đủ thứ đấy, tôi cày sml luôn đấy"
294,cột sống e ổn không,cột sống em ổn không
295,Nước dăng xuyên màn hình,Nước văng xuyên màn hình
296,cứ bình từ thoii bà chuỵ,cứ bình từ thôi bà chị
297,phim không dc có tình yêu :)),phim không được có tình yêu :))
298,Đang làm bà dà 80 tuổi đi đánh quái zật tự nhiên thức dậy biến thành 1 con nhỏ ất ơ nào đấy 17 tủi,Đang làm bà già 80 tuổi đi đánh quái vật tự nhiên thức dậy biến thành 1 con nhỏ ất ơ nào đấy 17 tuổi
299,may trg mik mùa hè còn phải mang áo khoác đi mặc,may trường mình mùa hè còn phải mang áo khoác đi mặc
300,Ngừi ta không quan tâm thôi chứ không phải vô tâm,Người ta không quan tâm thôi chứ không phải vô tâm
301,củm ơn bame ckồnq đã sank ckồnq ra để e đượk gặp zà iu tkươnq ckồnq,cảm ơn ba mẹ chồng đã sinh chồng ra để em được gặp và yêu thương chồng
302,"Xong tương lai ko còn mặng cụt, với mảng cầu chín để ăn nữa","Xong tương lai không còn măng cụt, với mảng cầu chín để ăn nữa"
303,Thế lúc cầm tiền ai cầm cho  dc cái này mất cái kia mà,Thế lúc cầm tiền ai cầm cho  được cái này mất cái kia mà
304,Cậu chỉ cần đẹp trai là đc:)),Cậu chỉ cần đẹp trai là được:))
305,chừng nèo đi coi xiếc dị,chừng nào đi coi xiếc vậy
306,"Thời chẻ châu sóng gió các bác ạh, chúng ta giống nhau quá :))","Thời trẻ trâu sóng gió các bác ạ, chúng ta giống nhau quá :))"
307,mình nói bác tài xe ben còn lũ báo đời đua xe thì đi luôn ko ai thương nhé,mình nói bác tài xe ben còn lũ báo đời đua xe thì đi luôn không ai thương nhé
308,ngăn rác di động trong cặp t :>>,ngăn rác di động trong cặp tôi :>>
309,Hải phòng k lòng vòng à,Hải phòng không lòng vòng à
310,kảnh xát trĩnh tã tới gòi đei,cảnh sát chính tả tới rồi đây
311,cái nết i sì i đúc =)),cái nết y sì y đúc =))
312,:)))) cứ làm dần ạ r sẽ có lúc nch th,:)))) cứ làm dần ạ rồi sẽ có lúc nch thôi
313,về a nuôi a cho đứa khác làm sao phải mếu máo :)),về anh nuôi anh cho đứa khác làm sao phải mếu máo :))
314,dô nghe tiếng thét đao đớn nè,vô nghe tiếng thét đau đớn nè
315,"Chúc 2 bạn luôn như vậy, luôn bên nhau dù có chuyện j đi nữa","Chúc 2 bạn luôn như vậy, luôn bên nhau dù có chuyện gì đi nữa"
316,học ngôn ngữ mới đy,học ngôn ngữ mới đi
317,Nhưng h toàn thất nghiệp ăn còn đéo đủ thì mua thế vẹo nào dc,Nhưng giờ toàn thất nghiệp ăn còn đéo đủ thì mua thế vẹo nào được
318,anh ben mà đấm thì thốn k trượt cái nào,anh ben mà đấm thì thốn không trượt cái nào
319,K hiểu sao mình k thích ún trà sữa  chaăc ún vô khó ngủ,Không hiểu sao mình không thích uống trà sữa  chắc uống vô khó ngủ
320,Mặp lắm gòi ông ơi,Mập lắm rồi ông ơi
321,Thế ck mình làm lương 8tr thì như nào nhể,Thế chồng mình làm lương 8tr thì như nào nhỉ
322,"nhưng về nhà nói thì nó vã lại cả mình, choán","nhưng về nhà nói thì nó vã lại cả mình, chán"
323,em lun mún làm cho bạn bè zui zẻ,em luôn muốn làm cho bạn bè vui vẻ
324,chắc mk tui khác quá xều à,chắc mình tui khác quá xều à
325,cái e kể lè chồng,cái em kể nè chồng
326,hnao cãi nhau to tí đi để t mua sổ số =)))))),hôm nào cãi nhau to tí đi để tôi mua xổ số =))))))
327,May quá mình lương 5 trịu,May quá mình lương 5 triệu
328,à thế ny t đang học mẫu giáo b ạ,à thế người yêu tôi đang học mẫu giáo bạn ạ
329,1 tô bún bò vẫn là nhứt ^^,1 tô bún bò vẫn là nhất ^^
330,đọc truyện ktx là màu hồng nhưg h ms bik nó còn đen hơn nc cống,đọc truyện ký túc xá là màu hồng nhưng giờ mới biết nó còn đen hơn nước cống
331,Người đang sống ở Nhật mở đt lên kiểu,Người đang sống ở Nhật mở điện thoại lên kiểu
332,Anh ấy vẫn 10đ nếu ảnh đz,Anh ấy vẫn 10đ nếu ảnh đẹp trai
333,hồi trc t cũng dụ bạn đi miết xong nhận ra là có những thứ ko cùng gu thì thôi ko bắt tội chúng bạn lgi:)),hồi trước tôi cũng dụ bạn đi miết xong nhận ra là có những thứ không cùng gu thì thôi không bắt tội chúng bạn làm gì:))
334,chúng ta đã bị thao túng dòi,chúng ta đã bị thao túng rồi
335,Hét xog cx có đứa nào im đou:)),Hét xong cũng có đứa nào im đâu:))
336,Chin lỗi chúng tôi chưa sẵn sàng làm mẹ =))),Xin lỗi chúng tôi chưa sẵn sàng làm mẹ =)))
337,có đứa cũng bị thao túng giống t,có đứa cũng bị thao túng giống tao
338,hồi nhỏ a thích siêu nhưn này lắm ned,hồi nhỏ anh thích siêu nhân này lắm nè
339,thích văn học không anh zai?,thích văn học không anh trai?
340,ko ai khác con pé đùi gà lun ó,không ai khác con bé đùi gà luôn đó
341,nma anh cứ mua tiếp đi em bảo no chứ có bảo kh ăn nữa dou,nhưng mà anh cứ mua tiếp đi em bảo no chứ có bảo không ăn nữa đâu
342,m bị chuột như kia cắn đúng kh,mày bị chuột như kia cắn đúng không
343,"Sau này, chồng tương lai của em phải mua 2 phần, 1 phần cho con, 1 phần cho em biết chưaaa","Sau này, chồng tương lai của em phải mua 2 phần, 1 phần cho con, 1 phần cho em biết chưa"
344,mua bánh bhx bị quangthai phát hịn,mua bánh bhx bị quangthai phát hiện
345,"vấn đề ko phải là mỡ nạc mà vấn đề là bới đồ ăn trong đĩa, bạn có thể gắp cả miếng thịt rồi bỏ phần mỡ trên miếng bạn gắp đó, ăn phần thịt nạc thôi là đc mà","vấn đề không phải là mỡ nạc mà vấn đề là bới đồ ăn trong đĩa, bạn có thể gắp cả miếng thịt rồi bỏ phần mỡ trên miếng bạn gắp đó, ăn phần thịt nạc thôi là được mà"
346,"v khổ cho gv trường mk quá, cx là trắc nghiệm nhg ko có chắc nghiệm mà phải tự vt ra theo ý hiểu của mk, giống như vt văn v.","vậy khổ cho giáo viên trường mình quá, cũng là trắc nghiệm nhưng không có trắc nghiệm mà phải tự viết ra theo ý hiểu của mình, giống như viết văn vậy."
347,định đăng ký mà nick tóp tóp mình có 10 người pho lâu ai rảnh vào pho lâu êm cái,định đăng ký mà nick tóp tóp mình có 10 người pho lâu ai rảnh vào pho lâu em cái
348,Từ hồi ổng còn trẻ vẫn k thấy ổng đẹp trai chỗ nào mà ai cũng mê,Từ hồi ổng còn trẻ vẫn không thấy ổng đẹp trai chỗ nào mà ai cũng mê
349,"Cái việc đầu tiên phải đưa thằng con đi khám, chụp chiếu xem có sao ko","Cái việc đầu tiên phải đưa thằng con đi khám, chụp chiếu xem có sao không"
350,tự giác buông chứ hong kêu,tự giác buông chứ không kêu
351,"hmmm, ngay từ khi biết sj sẽ về vn là t đã xác định book vé 1 thân 1 mình từ hn vào sg để đu rồi :)))","hmmm, ngay từ khi biết sj sẽ về vn là tôi đã xác định book vé 1 thân 1 mình từ hn vào sg để đu rồi :)))"
352,qua cô thanh chụp bô vs ny chị ơi,qua cô thanh chụp bô với người yêu chị ơi
353,đọc truyện giải truý nè b :)))))))),đọc truyện giải trí nè bạn :))))))))
354,cơm tróa quá tr oi,cơm chó quá trời ơi
355,cx hơi giống r đó,cũng hơi giống rồi đó
356,Ủa ròy hình này ai chụp?? =)),Ủa rồi hình này ai chụp?? =))
357,"Hấp thụ nhiệt với cản tia UV khác nhau nha mấy má ơi, bớt cãi điii","Hấp thụ nhiệt với cản tia UV khác nhau nha mấy má ơi, bớt cãi đi"
358,chuyện là dì chị nghe em biện minh ý lộn giải thích cái,chuyện là gì chị nghe em biện minh ý lộn giải thích cái
359,Mới hùi sáng mình gọi bạn đây chứ âu,Mới hồi sáng mình gọi bạn đây chứ đâu
360,Cái nào quan trọng hơn thì giữ cái đó c nha,Cái nào quan trọng hơn thì giữ cái đó cậu nha
361,Nhân văn quá tui quen rồi,Nhân văn quá tôi quen rồi
362,2$ được ổ bánh mì với ly sinh tố là xong 1 bữa rồi í =))),2$ được ổ bánh mì với ly sinh tố là xong 1 bữa rồi ấy =)))
363,"Chứng tỏ xoài chua, ko ngon","Chứng tỏ xoài chua, không ngon"
364,cũng sắp sinh nhật tôi chẳng mong gì nhiều mong b tặng tôi con ip14 được rồi :)),cũng sắp sinh nhật tôi chẳng mong gì nhiều mong bạn tặng tôi con ip14 được rồi :))
365,"Ko thích mặc đồ kiểu này, khó chịu vãi","Không thích mặc đồ kiểu này, khó chịu vãi"
366,Ở nhà ăn mà bới bới thức ăn như vầy mẹ t ụp nguyên mâm lên đầu luôn ấy chứ,Ở nhà ăn mà bới bới thức ăn như vầy mẹ tôi ụp nguyên mâm lên đầu luôn ấy chứ
367,t áo hồng dắt m đi dạo phố,tao áo hồng dắt mày đi dạo phố
368,Trời m vểnh tai lên nghe cho t :)),Trời mày vểnh tai lên nghe cho tao :))
369,mặc này là đẹp hơn nữ mặc r,mặc này là đẹp hơn nữ mặc rồi
370,bà nch dui xỉu nhưng bà ở Đống Đa tui ở Bình Thạnh,bà nói chuyện vui xỉu nhưng bà ở Đống Đa tui ở Bình Thạnh
371,Rất nhiều ng sẽ đồng cảm w hình này,Rất nhiều người sẽ đồng cảm với hình này
372,Gà said: 3 năm tam tai k bằng 1 năm thái tuế ..,Gà said: 3 năm tam tai không bằng 1 năm thái tuế ..
373,tại cái này bcuoi quá nên tui tag  =)))))))),tại cái này buồn cườii quá nên tui tag =))))))))
374,"Vụ bới đồ ăn là vô duyên thật, k bênh đc nha","Vụ bới đồ ăn là vô duyên thật, không bênh được nha"
375,Để e khám phá vẻ đẹp tìm ẩn của a,Để em khám phá vẻ đẹp tìm ẩn của anh
376,dô nghe c iu xinh xẻo,vô nghe cậu yêu xinh xẻo
377,chưa ai qua đc màn 2 :))),chưa ai qua được màn 2 :)))
378,t ngồi im mà drama nó tìm t chứ ai gảnh,tôi ngồi im mà drama nó tìm tôi chứ ai rảnh
379,đi sô 1 mình nè e,đi số 1 mình nè em
380,Chồng nhà người ta không bh làm mk thất vọng,Chồng nhà người ta không bao giờ làm mình thất vọng
381,ông này nch thú zị :)),ông này nói chuyện thú vị :))
382,chua chắc đã lm dc=)),chưa chắc đã làm được=))
383,Nhiều đậu phọng ngon quá,Nhiều đậu phộng ngon quá
384,nghe nói gọt ra còn ít xịu à,nghe nói gọt ra còn ít xịt à
385,Như này chắc bị đuổi lâu r c :)),Như này chắc bị đuổi lâu rồi cậu :))
386,"Hồi nhỏ ăn ko sao mà giờ ăn tí tôm, cua, ghẹ, mực vào là trong người khó chịu + tức ngực + buồn nôn + môi thì bị ngứa rồi phồng rộp bên trong lòng môi","Hồi nhỏ ăn không sao mà giờ ăn tí tôm, cua, ghẹ, mực vào là trong người khó chịu + tức ngực + buồn nôn + môi thì bị ngứa rồi phồng rộp bên trong lòng môi"
387,tới vùng đất của mình sống đi đồ nha đầu zô zụng,tới vùng đất của mình sống đi đồ nha đầu vô vụng
388,để t đổi đợt học sắp tới :))),để tôi đổi đợt học sắp tới :)))
389,ế đúng tao lun tưởng ng ta bán đồ ăn nhanh,ê đúng tao luôn tưởng người ta bán đồ ăn nhanh
390,nào cũng có lí do ht đk ae.,nào cũng có lí do hết đk anh em.
391,Diếc đúq trính tã đi goy qay lại đei nói chiệng,Viết đúng chính tả đi rồi quay lại đây nói chuyện
392,"Đợt mình và ngyêu cũng bị tông xe, mấy anh đi đường dừng lại nhiều lắm, có anh nọ giúp mình giải quyết để bọn mình được đi","Đợt mình và người yêu cũng bị tông xe, mấy anh đi đường dừng lại nhiều lắm, có anh nọ giúp mình giải quyết để bọn mình được đi"
393,Xin vé nàm công chúa =)),Xin vé làm công chúa =))
394,đội nón bảo hiểm luôn ms chịu à akakka,đội nón bảo hiểm luôn mới chịu à akakka
395,Mk cũng k ăn dk thịt mỡ nk thay vì bới mk chọn k ăn nữa,Mình cũng không ăn được thịt mỡ nhưng thay vì bới mình chọn không ăn nữa
396,cuối cùng cũng chụp ảnh màu đc gòi quá đã,cuối cùng cũng chụp ảnh màu được rồi quá đã
397,Quả này vừa đóng phạt vừa đền chắc ko ít đâu :))))),Quả này vừa đóng phạt vừa đền chắc không ít đâu :)))))
398,"gần giống với “có sữa chua trong tủ thg P ăn đi nhé, có bánh ruốc sáng mai đi làm lấy mà ăn”","gần giống với “có sữa chua trong tủ thằng P ăn đi nhé, có bánh ruốc sáng mai đi làm lấy mà ăn”"
399,cách nói chuyện giống cô vs toi ghia,cách nói chuyện giống cô với tôi ghê
400,Ở đâu tuồng vào vn thì các ông lại chặn ko được.,Ở đâu tuồn vào vn thì các ông lại chặn không được.
401,Rồi tăng ca nhiều lại ko có thời gian thành ra cũng gây nhau bị trách đủ thứ vậy đó,Rồi tăng ca nhiều lại không có thời gian thành ra cũng gây nhau bị trách đủ thứ vậy đó
402,T thuộc team nhan khống nên gái xinh mà mê trước đã rồi tính sau,Tôi thuộc team nhan khống nên gái xinh mà mê trước đã rồi tính sau
403,"Sợ quá huhu, t hay mơ thấy mấy cảnh này lắm.","Sợ quá huhu, tôi hay mơ thấy mấy cảnh này lắm."
404,"thấy mâm nào thiếu thì nhảy vào chứ sao, k nhảy vào bàn họ cô dâu chú rể ngồi luôn","thấy mâm nào thiếu thì nhảy vào chứ sao, không nhảy vào bàn họ cô dâu chú rể ngồi luôn"
405,"Nhà mình có 2 wc tầng trên tầng dưới, lúc chỉ xài 1 viên thử cho 1 wc thôi thì thấy nó sạch hơn vs nó trắng lên so vs cái bồn cầu còn lại","Nhà mình có 2 wc tầng trên tầng dưới, lúc chỉ xài 1 viên thử cho 1 wc thôi thì thấy nó sạch hơn với nó trắng lên so với cái bồn cầu còn lại"
406,Team đồ đen ko thíc mùa hè,Team đồ đen không thích mùa hè
407,để t chống mắt lên xem m cãi kiểu j,để tao chống mắt lên xem mày cãi kiểu gì
408,"không, nhma bị đánh dấu bài :))))))","không, nhưng mà bị đánh dấu bài :))))))"
409,Thôi thì cũng mong là MC năm nay ăn cúp đi cố lắm lòi cả tĩ r =))),Thôi thì cũng mong là MC năm nay ăn cúp đi cố lắm lòi cả trĩ rồi =)))
410,"Trc là đi học, sau là đi làm, không nên kì vọng vào bất kì mối quan hệ nào cả","Trước là đi học, sau là đi làm, không nên kì vọng vào bất kì mối quan hệ nào cả"
411,C ấy lại ra phim để coi rồi,Cậu ấy lại ra phim để coi rồi
412,Thế mà k péo đc mới tài chứ,Thế mà không béo được mới tài chứ
413,Về đồn thì mềm xương vs chú.,Về đồn thì mềm xương với chú.
414,xin it's chân gà cko hommie,xin ít chân gà cho hommie
415,Ăn không có ngon k mn? Có chua k?,Ăn có không ngon không mọi người? Có chua không?
416,trúng k mà sao k có quà vậy,trúng không mà sao không có quà vậy
